pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
1049,NA,NA,דיאמנט:, אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?,דיאמנט: אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?</p></sp>",NA,diamenet,,NA,NA,NA,NA
1050,NA,NA,מירקין:,ראובן: (נכנס) הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.,ראובן: (נכנס) הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: <stage> נכנס </stage> הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1051,NA,NA,דיאמנט:,"מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל
צפוי והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה.
חתונה היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך
על הרך הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה.
הנהו הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות. ","מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל
צפוי והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה.
חתונה היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך
על הרך הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה.
הנהו הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות. ","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל
צפוי והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה.
חתונה היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך
על הרך הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה.
הנהו הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות. </p></sp>",NA,diamenet,,NA,NA,NA,NA
1052,NA,NA,מירקין:,ראובן: עלי ללכת.,ראובן: עלי ללכת.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: עלי ללכת.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1053,NA,NA,דיאמנט:,מירקין: לך. אנחנו עוד נתראה.,מירקין: לך. אנחנו עוד נתראה.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: לך. אנחנו עוד נתראה.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1054,NA,NA,מירקין:,"ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.","ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1055,NA,NA,דיאמנט:,"מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.","מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1056,NA,NA,ראובן:," יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. (מסיר את תכנית הבית מעל הקיר) אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
(בוכה)","ראובן: יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. (מסיר את תכנית הבית מעל הקיר) אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
(בוכה)","<sp who=""#ruben""><speaker>ראובן</speaker><p> יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. <stage> מסיר את תכנית הבית מעל הקיר </stage> אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
<stage> בוכה </stage></p></sp>",NA,ruben,,NA,NA,NA,NA
1057,NA,NA,מירקין:," אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.","מירקין: אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1058,NA,NA,היא,דיאמנט: הוא נשתבש בשכל הישר. (ראובן יוצא),דיאמנט: הוא נשתבש בשכל הישר. (ראובן יוצא),,NA,NA,,NA,NA,NA,NA
1059,NA,NA,ראובן:,"מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה נאה מזו לא נשמעה מיום בו נבראו היונה והעורב, האם שמעתם מעודכם
כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם. גם אתה
לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע? ברכתי לך
דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון קדיש
וזכרון למתים, ולא הם יהללו יה. לא הם.","מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה נאה מזו לא נשמעה מיום בו נבראו היונה והעורב, האם שמעתם מעודכם
כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם. גם אתה
לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע? ברכתי לך
דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון קדיש
וזכרון למתים, ולא הם יהללו יה. לא הם.","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה נאה מזו לא נשמעה מיום בו נבראו היונה והעורב, האם שמעתם מעודכם
כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם. גם אתה
לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע? ברכתי לך
דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון קדיש
וזכרון למתים, ולא הם יהללו יה. לא הם.</p></sp>",NA,ruben,,NA,NA,NA,NA
1060,NA,NA,מירקין:,דיאמנט: והרי אין כל כנור בזרועך.,דיאמנט: והרי אין כל כנור בזרועך.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: והרי אין כל כנור בזרועך.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1061,NA,NA,ראובן:,"מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.","מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.</p></sp>",NA,ruben,,NA,NA,NA,NA
1062,NA,NA,מירקין:,"דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.","דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1063,NA,NA,ראובן:,"מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה,
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה. אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)","מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה,
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה. אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה,
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה. אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)</p></sp>",NA,ruben,,NA,NA,NA,NA
1064,NA,NA,מירקין:,"מירי: (נכנסת) רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול… ","מירי: (נכנסת) רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול… ","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: <stage> נכנסת </stage> רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול… </p></sp>",NA,mirkin,,NA,NA,NA,NA
1065,NA,NA,דיאמנט:, אנחנו יודעים.,דיאמנט: אנחנו יודעים.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אנחנו יודעים.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1066,NA,NA,מירקין:,מירי: ולא תסגיר את אבא לכלא?,מירי: ולא תסגיר את אבא לכלא?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: ולא תסגיר את אבא לכלא?</p></sp>",NA,mirkin,,NA,NA,NA,NA
1067,NA,NA,דיאמנט:, לא.,דיאמנט: לא.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> לא.</p></sp>",NA,diamenet,,NA,NA,NA,NA
